Target (deg),Pmcs,Avg dy,Total Exp,Avg Null Depth,Outage Rate
0.25,0.020073228804877604,960.0,469.0,-66.39572755241377,3.4918300910957712e-06
0.5,0.020073228804877604,960.0,469.0,-66.39572755241377,3.4918300910957712e-06
0.75,0.02994547976065146,840.0,421.0,-65.98586439100109,4.35582246340882e-06
1.0,0.04467093701147366,720.0,373.0,-65.22687550901088,9.883133770127728e-06
1.25,0.06664481853931617,600.0,325.0,-63.90232948561336,4.464291830619249e-06
1.5,0.09909172122715337,480.0,277.0,-60.25476319817422,0.00033730932825406514
2.0,0.10578405059456315,440.0,261.0,-58.877467136664734,0.007012574711068198
2.5,0.10578405059456315,440.0,261.0,-58.877467136664734,0.007012574711068198
3.0,0.10578405059456315,440.0,261.0,-58.877467136664734,0.007012574711068198
4.0,0.10578405059456315,440.0,261.0,-58.877467136664734,0.007012574711068198
5.0,0.10578405059456315,440.0,261.0,-58.877467136664734,0.007012574711068198
